Model,Accuracy,Precision,Recall,F1-score,CV Accuracy,Overfit Gap
Random Forest,0.7988826815642458,0.7638888888888888,0.7432432432432432,0.7534246575342466,0.811493314920595,0.1800499027054171
Logistic Regression,0.7988826815642458,0.7794117647058824,0.7162162162162162,0.7464788732394366,0.7856317870817903,0.004488104952608096
K-Nearest Neighbors,0.7877094972067039,0.75,0.7297297297297297,0.7397260273972602,0.8204444165463561,0.07745904211913879
Decision Tree,0.7541899441340782,0.7083333333333334,0.6891891891891891,0.6986301369863014,0.7800703031824744,0.22474264013558465
